id,city_id,dong_name
311,23,"과림동"
312,23,"광석동"
313,23,"군자동"
314,23,"금이동"
315,23,"논곡동"
316,23,"능곡동"
317,23,"대야동"
318,23,"도창동"
319,23,"매화동"
320,23,"목감동"
321,23,"무지내동"
322,23,"물왕동"
323,23,"미산동"
324,23,"방산동"
325,23,"산현동"
326,23,"신천동"
327,23,"신현동"
328,23,"안현동"
329,23,"연성동"
330,23,"월곶동"
331,23,"은행동"
332,23,"장곡동"
333,23,"장현동"
334,23,"정왕동"
335,23,"조남동"
336,23,"죽율동"
337,23,"포동"
338,23,"하상동"
339,23,"하중동"
340,23,"화정동"
341,24,"고잔동"
342,24,"대부동"
343,24,"목내동"
344,24,"선감동"
345,24,"선부동"
346,24,"성곡동"
347,24,"신길동"
348,24,"와동"
349,24,"원곡동"
350,24,"원시동"
351,24,"초지동"
352,24,"풍도동"
353,24,"호수동"
354,24,"화정동"
355,25,"건건동"
356,25,"반월동"
357,25,"본오동"
358,25,"부곡동"
359,25,"사동"
360,25,"사사동"
361,25,"성포동"
362,25,"수암동"
363,25,"안산동"
364,25,"양상동"
365,25,"월피동"
366,25,"이동"
367,25,"일동"
368,25,"장상동"
369,25,"장하동"
370,25,"팔곡"
371,26,"가사동"
372,26,"가현동"
373,26,"계동"
374,26,"고삼면"
375,26,"공도읍"
376,26,"구포동"
377,26,"금광면"
378,26,"금산동"
379,26,"금석동"
380,26,"낙원동"
381,26,"당왕동"
382,26,"대덕면"
383,26,"대천동"
384,26,"도기동"
385,26,"동본동"
386,26,"명륜동"
387,26,"미양면"
388,26,"발화동"
389,26,"보개면"
390,26,"봉남동"
391,26,"봉산동"
392,26,"사곡동"
393,26,"삼죽면"
394,26,"서운면"
395,26,"서인동"
396,26,"석정동"
397,26,"성남동"
398,26,"숭인동"
399,26,"신건지동"
400,26,"신모산동"
401,26,"신소현동"
402,26,"신흥동"
403,26,"아양동"
404,26,"양성면"
405,26,"연지동"
406,26,"영동"
407,26,"옥산동"
408,26,"옥천동"
409,26,"원곡면"
410,26,"인지동"
411,26,"일죽면"
412,26,"죽산면"
413,26,"중리동"
414,26,"창전동"
415,26,"현수동"
416,27,"갈산동"
417,27,"관양동"
418,27,"귀인동"
419,27,"달안동"
420,27,"범계동"
421,27,"부림동"
422,27,"부흥동"
423,27,"비산동"
424,27,"신촌동"
425,27,"평안동"
426,27,"평촌동"
427,27,"호계동"
428,28,"박달동"
429,28,"석수동"
430,28,"안양"
431,29,"고암동"
432,29,"고읍동"
433,29,"광사동"
434,29,"광적면"
435,29,"남면"
436,29,"남방동"
437,29,"덕계동"
438,29,"덕정동"
439,29,"마전동"
440,29,"만송동"
441,29,"백석읍"
442,29,"봉양동"
443,29,"산북동"
444,29,"삼숭동"
445,29,"어둔동"
446,29,"옥정동"
447,29,"유양동"
448,29,"율정동"
449,29,"은현면"
450,29,"장흥면"
451,29,"회암동"
452,29,"회정동"
453,30,"강상면"
454,30,"강하면"
455,30,"개군면"
456,30,"단월면"
457,30,"서종면"
458,30,"양동면"
459,30,"양서면"
460,30,"양평읍"
461,30,"옥천면"
462,30,"용문면"
463,30,"지평면"
464,30,"청운면"
465,31,"가남읍"
466,31,"강천면"
467,31,"금사면"
468,31,"능서면"
469,31,"대신면"
470,31,"북내면"
471,31,"산북면"
472,31,"여주읍"
473,31,"점동면"
474,31,"흥천면"
475,32,"군남면"
476,32,"미산면"
477,32,"백학면"
478,32,"신서면"
479,32,"연천읍"
480,32,"왕징면"
481,32,"장남면"
482,32,"전곡읍"
483,32,"중면"
484,32,"청산면"
485,33,"가수동"
486,33,"가장동"
487,33,"갈곶동"
488,33,"고현동"
489,33,"궐동"
490,33,"금암동"
491,33,"남촌동"
492,33,"내삼미동"
493,33,"누읍동"
494,33,"대원동"
495,33,"두곡동"
496,33,"벌음동"
497,33,"부산동"
498,33,"서동"
499,33,"서랑동"
500,33,"세교동"
501,33,"세마동"
502,33,"수청동"
503,33,"신장동"
504,33,"양산동"
505,33,"오산동"
506,33,"외삼미동"
507,33,"원동"
508,33,"은계동"
509,33,"중앙동"
510,33,"지곶동"
511,33,"청학동"
512,33,"청호동"
513,33,"초평동"
514,33,"탑동"
515,34,"고매동"
516,34,"공세동"
517,34,"구갈동"
518,34,"구성동"
519,34,"구성동"
520,34,"기흥동"
521,34,"농서동"
522,34,"동백동"
523,34,"마북동"
524,34,"보라동"
525,34,"보정동"
526,34,"상갈동"
527,34,"상하동"
528,34,"서천동"
529,34,"신갈동"
530,34,"언남동"
531,34,"영덕동"
532,34,"중동"
533,34,"지곡동"
534,34,"청덕동"
535,34,"하갈동"
536,35,"고기동"
537,35,"동천동"
538,35,"수지동"
539,35,"상현동"
540,35,"성복동"
541,35,"신봉동"
542,35,"죽전동"
543,35,"풍덕천동"
544,36,"고림동"
545,36,"김량장동"
546,36,"남동"
547,36,"남사면"
548,36,"마평동"
549,36,"모현면"
550,36,"백암면"
551,36,"삼가동"
552,36,"양지면"
553,36,"역북동"
554,36,"운학동"
555,36,"원삼면"
